school,sex,age,home_area,family_size,parents_cohabit,education_mother,education_father,occupation_mother,occupation_father,reason,guardian,travel_time,study_time,failures,extra_school_support,family_support,extra_tutoring,extracurricular_activities,nursery,higher_education,internet_access,romantic_relationship,family_relationships_quality,free_time,going_out,alcohol_weekdays,alcohol_weekend,health_status,absences,final_grade
Gabriel Pereira,F,16,Urban,> 3,TRUE,Higher education,Higher education,Civil service,Civil service,Reputation,Mother,< 15 minutes,5 to 10 hours/week,0,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,3,2,3,1,2,2,10,14
Gabriel Pereira,F,16,Urban,> 3,TRUE,Upper secondary education,Upper secondary education,Other,Other,Reputation,Mother,30 minutes to 1 hour,2 to 5 hours/week,0,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,5,3,2,1,1,4,2,14
Gabriel Pereira,M,17,Urban,> 3,TRUE,Upper secondary education,Lower secondary education,Civil service,Civil service,Course preference,Mother,< 15 minutes,< 2 hours/week,>= 3,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,5,5,5,2,4,5,2,7
Gabriel Pereira,M,16,Urban,<= 3,TRUE,Higher education,Upper secondary education,Healthcare,Other,Close to home,Father,< 15 minutes,< 2 hours/week,0,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,3,1,3,1,3,5,6,12
Gabriel Pereira,M,15,Urban,> 3,TRUE,Higher education,Upper secondary education,Teacher,Other,Reputation,Mother,< 15 minutes,2 to 5 hours/week,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,4,4,1,1,1,1,0,14
Gabriel Pereira,M,15,Urban,> 3,TRUE,Higher education,Higher education,Healthcare,Healthcare,Other,Father,< 15 minutes,< 2 hours/week,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,5,4,2,1,1,5,0,12
Gabriel Pereira,M,16,Urban,<= 3,TRUE,Higher education,Lower secondary education,Teacher,Other,Course preference,Mother,< 15 minutes,2 to 5 hours/week,0,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,4,5,1,1,3,5,0,14
Gabriel Pereira,M,16,Urban,<= 3,TRUE,Lower secondary education,Lower secondary education,Other,Other,Reputation,Mother,15 to 30 minutes,2 to 5 hours/week,0,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,5,4,4,2,4,5,2,10
Gabriel Pereira,F,15,Rural,> 3,TRUE,Lower secondary education,Higher education,Civil service,Healthcare,Course preference,Mother,< 15 minutes,5 to 10 hours/week,0,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,4,3,2,1,1,5,2,10
Gabriel Pereira,F,16,Urban,> 3,TRUE,Lower secondary education,Lower secondary education,Civil service,Civil service,Close to home,Mother,< 15 minutes,< 2 hours/week,0,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1,2,2,1,3,5,6,12
Gabriel Pereira,M,15,Urban,> 3,TRUE,Lower secondary education,Lower secondary education,Other,Other,Close to home,Mother,< 15 minutes,< 2 hours/week,0,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,4,2,2,1,2,5,8,12
Gabriel Pereira,M,15,Urban,> 3,TRUE,Higher education,Lower secondary education,Healthcare,Civil service,Other,Mother,< 15 minutes,< 2 hours/week,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,2,2,4,2,4,1,0,11
Gabriel Pereira,M,16,Urban,<= 3,FALSE,Upper secondary education,Higher education,Civil service,Other,Close to home,Mother,< 15 minutes,2 to 5 hours/week,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,5,3,3,1,1,5,2,13
Gabriel Pereira,M,16,Urban,> 3,TRUE,Higher education,Higher education,Teacher,Teacher,Close to home,Mother,< 15 minutes,2 to 5 hours/week,0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4,4,5,5,5,5,4,12
Gabriel Pereira,M,15,Urban,> 3,TRUE,Higher education,Higher education,Healthcare,Civil service,Close to home,Mother,< 15 minutes,2 to 5 hours/week,0,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,5,4,2,3,4,5,0,11
Gabriel Pereira,M,15,Urban,> 3,TRUE,Higher education,Higher education,Civil service,Civil service,Reputation,Mother,15 to 30 minutes,2 to 5 hours/week,0,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,4,3,1,1,1,5,2,15
Gabriel Pereira,M,15,Rural,> 3,TRUE,Higher education,Upper secondary education,Teacher,At home,Course preference,Mother,< 15 minutes,2 to 5 hours/week,0,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,4,5,2,1,1,5,0,15
Gabriel Pereira,M,15,Urban,<= 3,TRUE,Upper secondary education,Upper secondary education,Other,Other,Course preference,Mother,< 15 minutes,2 to 5 hours/week,0,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,5,3,2,1,1,2,0,12
Gabriel Pereira,M,16,Urban,> 3,TRUE,Upper secondary education,Lower secondary education,Other,Other,Close to home,Mother,< 15 minutes,< 2 hours/week,0,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,5,4,3,1,1,5,4,12
Gabriel Pereira,F,15,Urban,> 3,TRUE,Lower secondary education,Upper secondary education,Other,Other,Other,Father,15 to 30 minutes,< 2 hours/week,0,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,3,5,1,1,1,5,4,11
Gabriel Pereira,M,15,Urban,<= 3,TRUE,Higher education,Upper secondary education,Teacher,Civil service,Close to home,Mother,< 15 minutes,5 to 10 hours/week,0,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,5,4,3,1,1,4,0,14
Gabriel Pereira,M,16,Rural,> 3,FALSE,Higher education,Higher education,Other,Teacher,Reputation,Mother,15 to 30 minutes,5 to 10 hours/week,0,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,2,4,3,1,1,5,4,13
Gabriel Pereira,F,15,Rural,> 3,TRUE,Upper secondary education,Higher education,Civil service,Healthcare,Course preference,Mother,< 15 minutes,5 to 10 hours/week,0,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,4,3,2,1,1,5,2,12
Gabriel Pereira,F,15,Rural,> 3,TRUE,Lower secondary education,Lower secondary education,At home,Other,Reputation,Mother,< 15 minutes,< 2 hours/week,0,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,4,3,1,1,1,2,8,12
Gabriel Pereira,F,16,Urban,<= 3,TRUE,Lower secondary education,Lower secondary education,Other,Other,Close to home,Mother,15 to 30 minutes,2 to 5 hours/week,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,3,3,3,1,2,3,16,10
Gabriel Pereira,M,15,Urban,<= 3,TRUE,Higher education,Higher education,Teacher,Other,Close to home,Other,< 15 minutes,< 2 hours/week,0,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,5,4,3,2,4,5,8,11
Gabriel Pereira,M,15,Urban,> 3,TRUE,Higher education,Higher education,Civil service,Teacher,Course preference,Father,< 15 minutes,2 to 5 hours/week,0,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,4,3,3,1,1,5,0,15
Gabriel Pereira,M,15,Urban,> 3,TRUE,Lower secondary education,Lower secondary education,Civil service,Civil service,Course preference,Father,< 15 minutes,< 2 hours/week,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,5,4,1,1,1,1,0,10
Gabriel Pereira,F,16,Urban,<= 3,TRUE,Lower secondary education,Lower secondary education,Other,At home,Course preference,Father,15 to 30 minutes,2 to 5 hours/week,1,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,4,3,3,2,2,5,14,11
Gabriel Pereira,F,15,Urban,<= 3,FALSE,Higher education,Upper secondary education,Other,Other,Course preference,Mother,< 15 minutes,2 to 5 hours/week,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5,2,2,1,1,5,4,11
Gabriel Pereira,F,16,Urban,<= 3,FALSE,Upper secondary education,Upper secondary education,Other,Civil service,Close to home,Mother,< 15 minutes,2 to 5 hours/week,0,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,2,3,5,1,4,3,6,13
Gabriel Pereira,M,16,Urban,> 3,TRUE,Higher education,Upper secondary education,Healthcare,Civil service,Reputation,Mother,< 15 minutes,> 10 hours/week,0,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,4,2,2,1,1,2,2,17
Gabriel Pereira,M,15,Urban,> 3,TRUE,Higher education,Lower secondary education,Teacher,Other,Close to home,Mother,< 15 minutes,2 to 5 hours/week,0,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,4,3,3,2,2,5,4,13
Gabriel Pereira,F,15,Urban,> 3,TRUE,Higher education,Higher education,Civil service,Teacher,Other,Father,< 15 minutes,2 to 5 hours/week,0,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,4,4,4,1,1,3,2,12
Gabriel Pereira,F,16,Urban,<= 3,TRUE,Lower secondary education,Lower secondary education,Civil service,Civil service,Course preference,Mother,30 minutes to 1 hour,2 to 5 hours/week,0,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,4,3,3,2,3,4,0,13
Gabriel Pereira,F,15,Urban,<= 3,TRUE,Higher education,Lower secondary education,Healthcare,Other,Other,Mother,< 15 minutes,2 to 5 hours/week,0,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,4,3,3,1,1,5,0,16
Gabriel Pereira,M,15,Urban,<= 3,FALSE,Higher education,Lower secondary education,Healthcare,Healthcare,Other,Father,15 to 30 minutes,< 2 hours/week,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,5,5,5,3,4,5,4,9
Gabriel Pereira,F,15,Urban,> 3,TRUE,Higher education,Higher education,Civil service,Civil service,Course preference,Mother,< 15 minutes,< 2 hours/week,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,3,3,4,2,3,5,0,12
Gabriel Pereira,F,15,Urban,<= 3,FALSE,Upper secondary education,Upper secondary education,Other,Other,Other,Mother,< 15 minutes,< 2 hours/week,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,5,3,4,4,4,1,0,13
Gabriel Pereira,F,16,Urban,> 3,FALSE,Lower secondary education,Primary education,Other,Other,Other,Mother,< 15 minutes,2 to 5 hours/week,0,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,5,3,4,1,1,2,2,12
Gabriel Pereira,F,15,Urban,> 3,FALSE,Higher education,Upper secondary education,Civil service,Civil service,Reputation,Mother,< 15 minutes,2 to 5 hours/week,0,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,4,3,2,1,1,1,0,15
Gabriel Pereira,M,15,Urban,> 3,TRUE,Higher education,Higher education,Teacher,Healthcare,Reputation,Mother,< 15 minutes,2 to 5 hours/week,0,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,3,2,2,1,1,5,8,16
Gabriel Pereira,M,15,Urban,<= 3,TRUE,Primary education,Lower secondary education,Other,At home,Close to home,Father,< 15 minutes,2 to 5 hours/week,0,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,4,3,2,1,1,5,0,14
Gabriel Pereira,F,16,Urban,> 3,TRUE,Higher education,Lower secondary education,Civil service,Other,Course preference,Mother,< 15 minutes,2 to 5 hours/week,0,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,4,2,3,1,1,5,2,16
Gabriel Pereira,F,16,Rural,> 3,TRUE,Higher education,Higher education,Healthcare,Teacher,Other,Mother,< 15 minutes,2 to 5 hours/week,0,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,2,4,4,2,3,4,0,16
Gabriel Pereira,F,16,Urban,> 3,TRUE,Primary education,Primary education,Civil service,Civil service,Course preference,Father,> 1 hour,< 2 hours/week,0,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,5,5,5,5,5,5,0,16
Gabriel Pereira,F,16,Urban,<= 3,TRUE,Primary education,Lower secondary education,Other,Civil service,Reputation,Father,< 15 minutes,2 to 5 hours/week,0,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,4,4,3,1,1,1,0,10
Gabriel Pereira,F,16,Urban,> 3,TRUE,Higher education,Upper secondary education,Teacher,Healthcare,Close to home,Mother,< 15 minutes,5 to 10 hours/week,0,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,3,4,4,2,4,4,0,13
Gabriel Pereira,F,15,Urban,<= 3,TRUE,Higher education,Upper secondary education,Civil service,Civil service,Reputation,Father,< 15 minutes,2 to 5 hours/week,0,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,4,4,4,2,4,2,0,12
Gabriel Pereira,F,16,Urban,<= 3,TRUE,Higher education,Upper secondary education,Teacher,Civil service,Course preference,Mother,30 minutes to 1 hour,2 to 5 hours/week,0,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,5,4,3,1,2,1,2,16
Gabriel Pereira,M,15,Urban,> 3,FALSE,Higher education,Higher education,Other,Civil service,Reputation,Mother,< 15 minutes,> 10 hours/week,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,1,3,3,5,5,3,0,12
Gabriel Pereira,F,16,Urban,> 3,TRUE,Upper secondary education,Primary education,Civil service,Other,Course preference,Mother,< 15 minutes,> 10 hours/week,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,4,3,3,1,2,5,0,10
Gabriel Pereira,F,15,Rural,<= 3,TRUE,Lower secondary education,Lower secondary education,Healthcare,Civil service,Reputation,Mother,15 to 30 minutes,2 to 5 hours/week,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,4,1,3,1,3,4,0,11
Gabriel Pereira,F,15,Rural,<= 3,TRUE,Upper secondary education,Primary education,Other,Other,Reputation,Father,15 to 30 minutes,> 10 hours/week,0,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,4,4,2,2,3,3,6,15
Gabriel Pereira,M,16,Urban,> 3,TRUE,Upper secondary education,Primary education,Other,Other,Reputation,Father,15 to 30 minutes,> 10 hours/week,0,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,4,3,2,1,1,5,2,11
Gabriel Pereira,M,15,Urban,> 3,TRUE,Higher education,Lower secondary education,Other,Other,Course preference,Mother,< 15 minutes,> 10 hours/week,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,3,3,3,1,1,3,0,10
Gabriel Pereira,F,15,Rural,> 3,TRUE,Primary education,Primary education,Other,Other,Reputation,Mother,< 15 minutes,2 to 5 hours/week,0,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,3,3,4,2,4,5,2,11
Gabriel Pereira,M,16,Urban,> 3,TRUE,Upper secondary education,Primary education,Other,Other,Reputation,Mother,< 15 minutes,< 2 hours/week,0,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,5,3,2,2,2,5,0,14
Gabriel Pereira,F,16,Urban,> 3,TRUE,Upper secondary education,Upper secondary education,Other,Civil service,Close to home,Mother,< 15 minutes,2 to 5 hours/week,0,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,4,3,3,2,4,5,4,11
Gabriel Pereira,M,15,Urban,> 3,TRUE,Higher education,Upper secondary education,Teacher,Other,Close to home,Mother,< 15 minutes,2 to 5 hours/week,0,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,4,3,3,2,3,5,0,11
Gabriel Pereira,M,15,Urban,> 3,TRUE,Higher education,None,Teacher,Other,Course preference,Mother,15 to 30 minutes,> 10 hours/week,0,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,3,4,3,1,1,1,0,11
Gabriel Pereira,F,16,Urban,> 3,TRUE,Lower secondary education,Lower secondary education,Other,Other,Reputation,Mother,< 15 minutes,> 10 hours/week,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,5,2,3,1,3,3,1,13
Gabriel Pereira,M,17,Urban,> 3,TRUE,Lower secondary education,Primary education,Other,Other,Close to home,Mother,15 to 30 minutes,< 2 hours/week,>= 3,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,4,5,1,1,1,3,0,10
Gabriel Pereira,F,16,Urban,> 3,TRUE,Upper secondary education,Higher education,At home,Other,Course preference,Mother,< 15 minutes,2 to 5 hours/week,0,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,2,4,3,1,2,3,14,11
Gabriel Pereira,M,15,Urban,> 3,TRUE,Lower secondary education,Upper secondary education,Other,Civil service,Course preference,Father,< 15 minutes,< 2 hours/week,0,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,3,2,2,1,3,3,0,12
Gabriel Pereira,M,15,Urban,> 3,TRUE,Lower secondary education,Upper secondary education,Other,Other,Close to home,Mother,< 15 minutes,5 to 10 hours/week,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,5,3,2,1,2,5,2,9
Gabriel Pereira,F,15,Urban,<= 3,TRUE,Upper secondary education,Lower secondary education,Civil service,Other,Reputation,Mother,< 15 minutes,2 to 5 hours/week,0,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,4,4,4,1,1,5,4,11
Gabriel Pereira,M,15,Urban,<= 3,TRUE,Lower secondary education,Lower secondary education,Civil service,Civil service,Close to home,Mother,15 to 30 minutes,2 to 5 hours/week,0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,5,3,3,1,3,4,2,13
Gabriel Pereira,F,15,Urban,> 3,TRUE,Primary education,Primary education,Other,Other,Close to home,Father,< 15 minutes,2 to 5 hours/week,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,4,3,2,2,3,4,2,12
Gabriel Pereira,F,15,Urban,> 3,TRUE,Higher education,Higher education,Civil service,Civil service,Reputation,Father,15 to 30 minutes,2 to 5 hours/week,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,4,4,4,2,3,5,4,12
Gabriel Pereira,F,16,Urban,<= 3,TRUE,Lower secondary education,Lower secondary education,At home,Other,Course preference,Mother,< 15 minutes,2 to 5 hours/week,0,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,4,3,4,1,2,2,6,11
Gabriel Pereira,F,15,Urban,> 3,TRUE,Higher education,Lower secondary education,Other,Other,Reputation,Mother,< 15 minutes,5 to 10 hours/week,0,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,5,3,3,1,3,1,4,15
Gabriel Pereira,M,16,Urban,> 3,TRUE,Lower secondary education,Lower secondary education,Civil service,Other,Reputation,Father,15 to 30 minutes,2 to 5 hours/week,0,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,4,4,2,1,1,3,6,11
Gabriel Pereira,M,16,Urban,<= 3,FALSE,Higher education,Higher education,Teacher,Healthcare,Reputation,Mother,< 15 minutes,2 to 5 hours/week,0,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,4,1,3,3,5,5,6,10
Gabriel Pereira,F,16,Urban,> 3,TRUE,Upper secondary education,Upper secondary education,Other,Other,Close to home,Mother,< 15 minutes,5 to 10 hours/week,0,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,4,3,3,1,3,4,2,11
Gabriel Pereira,F,15,Urban,> 3,TRUE,Higher education,Upper secondary education,Civil service,Other,Reputation,Mother,< 15 minutes,< 2 hours/week,0,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,4,5,5,1,3,1,6,13
Gabriel Pereira,F,16,Urban,<= 3,TRUE,Upper secondary education,Primary education,Other,Other,Close to home,Father,< 15 minutes,2 to 5 hours/week,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,3,3,3,2,3,2,0,12
Gabriel Pereira,F,16,Urban,> 3,TRUE,Higher education,Lower secondary education,Teacher,Civil service,Close to home,Mother,15 to 30 minutes,2 to 5 hours/week,0,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,5,3,3,1,1,1,2,14
Gabriel Pereira,M,15,Urban,<= 3,TRUE,Lower secondary education,Lower secondary education,Civil service,Healthcare,Reputation,Mother,< 15 minutes,> 10 hours/week,0,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,4,3,4,1,1,4,2,12
Gabriel Pereira,F,15,Rural,> 3,TRUE,Primary education,Primary education,At home,Other,Close to home,Mother,15 to 30 minutes,> 10 hours/week,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,3,1,2,1,1,1,4,13
Gabriel Pereira,M,16,Rural,> 3,TRUE,Higher education,Upper secondary education,Civil service,Other,Reputation,Mother,15 to 30 minutes,< 2 hours/week,0,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,3,3,3,1,1,4,6,11
Gabriel Pereira,F,16,Urban,> 3,TRUE,Lower secondary education,Primary education,Other,Other,Course preference,Mother,< 15 minutes,2 to 5 hours/week,0,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,4,3,5,1,1,5,0,12
Gabriel Pereira,F,16,Urban,> 3,TRUE,Higher education,Higher education,Other,Other,Reputation,Mother,< 15 minutes,< 2 hours/week,0,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,5,3,4,1,2,1,4,13
Gabriel Pereira,F,16,Urban,> 3,TRUE,Higher education,Upper secondary education,Other,At home,Course preference,Mother,< 15 minutes,5 to 10 hours/week,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,5,3,5,1,1,3,2,13
Gabriel Pereira,M,16,Urban,> 3,TRUE,Higher education,Higher education,Civil service,Civil service,Other,Mother,< 15 minutes,< 2 hours/week,0,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,4,5,5,5,5,4,12,8
Gabriel Pereira,M,16,Urban,> 3,TRUE,Higher education,Higher education,Civil service,Teacher,Other,Father,< 15 minutes,5 to 10 hours/week,0,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,4,4,3,1,1,4,0,16
